,Target,Scenario,xvar_subset_code,Regression Model,Fold,Train Score,Test Score,Scenario / Variables
62,GSupply,1p5c_OS_SSP2,all,ElasticNet,2,0.7943559042471496,0.7939626205555746,1p5c_OS_SSP2 / all
63,GSupply,1p5c_OS_SSP2,all,ElasticNet,3,0.7916445210145526,0.79776691394282,1p5c_OS_SSP2 / all
64,GSupply,1p5c_OS_SSP2,all,ElasticNet,4,0.7863893899097042,0.7801517008377785,1p5c_OS_SSP2 / all
65,GSupply,1p5c_OS_SSP2,all,RandomForestRegressor,0,0.9941706219820649,0.9640489183686877,1p5c_OS_SSP2 / all
66,GSupply,1p5c_OS_SSP2,all,RandomForestRegressor,1,0.9941654089925586,0.9694559995608594,1p5c_OS_SSP2 / all
67,GSupply,1p5c_OS_SSP2,all,RandomForestRegressor,2,0.9951673383273384,0.9456767318494299,1p5c_OS_SSP2 / all
68,GSupply,1p5c_OS_SSP2,all,RandomForestRegressor,3,0.9940743228361387,0.955038564602496,1p5c_OS_SSP2 / all
69,GSupply,1p5c_OS_SSP2,all,RandomForestRegressor,4,0.9940936590387033,0.9699209039089935,1p5c_OS_SSP2 / all
70,GSupply,1p5c_OS_SSP2,all,PySRRegressor,0,0.9135903963216129,0.9086522322669504,1p5c_OS_SSP2 / all
71,GSupply,1p5c_OS_SSP2,all,PySRRegressor,1,0.9366203752477741,0.9285981404308733,1p5c_OS_SSP2 / all
72,GSupply,1p5c_OS_SSP2,all,PySRRegressor,2,0.9251625438670242,0.9274021816619351,1p5c_OS_SSP2 / all
73,GSupply,1p5c_OS_SSP2,all,PySRRegressor,3,0.8868189303584105,0.8549275836772243,1p5c_OS_SSP2 / all
74,GSupply,1p5c_OS_SSP2,all,PySRRegressor,4,0.8800498573170249,0.8855410095448668,1p5c_OS_SSP2 / all
75,GSupply,1p5c_OS_SSP2,all,GPAFSRegressor,0,0.9258531644997731,0.9214442260223993,1p5c_OS_SSP2 / all
76,GSupply,1p5c_OS_SSP2,all,GPAFSRegressor,1,0.9253804680677039,0.9247010147947948,1p5c_OS_SSP2 / all
77,GSupply,1p5c_OS_SSP2,all,GPAFSRegressor,2,0.7908268804704466,0.7971843988652807,1p5c_OS_SSP2 / all
78,GSupply,1p5c_OS_SSP2,all,GPAFSRegressor,3,0.9278764226158328,0.9110434838568733,1p5c_OS_SSP2 / all
79,GSupply,1p5c_OS_SSP2,all,GPAFSRegressor,4,0.9195537615485234,0.9290971651484233,1p5c_OS_SSP2 / all
80,GSupply,2C_SSP2,small,ElasticNet,0,0.7685607717750262,0.7850598299379525,2C_SSP2 / small
81,GSupply,2C_SSP2,small,ElasticNet,1,0.7759612159600567,0.7353865109998468,2C_SSP2 / small
82,GSupply,2C_SSP2,small,ElasticNet,2,0.7793039150539662,0.7727261563110887,2C_SSP2 / small
83,GSupply,2C_SSP2,small,ElasticNet,3,0.7711002917946015,0.8001900070396026,2C_SSP2 / small
84,GSupply,2C_SSP2,small,ElasticNet,4,0.7706332557861059,0.7736277957779123,2C_SSP2 / small
85,GSupply,2C_SSP2,small,RandomForestRegressor,0,0.9869957201889222,0.9039045965633818,2C_SSP2 / small
86,GSupply,2C_SSP2,small,RandomForestRegressor,1,0.9856631981304558,0.8989476331131523,2C_SSP2 / small
87,GSupply,2C_SSP2,small,RandomForestRegressor,2,0.9880623519182448,0.8628983959805075,2C_SSP2 / small
88,GSupply,2C_SSP2,small,RandomForestRegressor,3,0.9873931787076718,0.886397375997137,2C_SSP2 / small
89,GSupply,2C_SSP2,small,RandomForestRegressor,4,0.9866323455026275,0.8971049551305741,2C_SSP2 / small
90,GSupply,2C_SSP2,small,PySRRegressor,0,0.8570201619426735,0.8750428219850698,2C_SSP2 / small
91,GSupply,2C_SSP2,small,PySRRegressor,1,0.8629521438136982,0.8523170339131918,2C_SSP2 / small
92,GSupply,2C_SSP2,small,PySRRegressor,2,0.8631855854413211,0.8444322295168918,2C_SSP2 / small
93,GSupply,2C_SSP2,small,PySRRegressor,3,0.8620714933179948,0.8530863371369707,2C_SSP2 / small
94,GSupply,2C_SSP2,small,PySRRegressor,4,0.858405491322441,0.8686237849010976,2C_SSP2 / small
95,GSupply,2C_SSP2,small,GPAFSRegressor,0,0.8986445093405425,0.9215984984445172,2C_SSP2 / small
96,GSupply,2C_SSP2,small,GPAFSRegressor,1,0.9097480824378912,0.9181649254215563,2C_SSP2 / small
97,GSupply,2C_SSP2,small,GPAFSRegressor,2,0.9054153763542886,0.8746461215802215,2C_SSP2 / small
98,GSupply,2C_SSP2,small,GPAFSRegressor,3,-0.7346517421545202,-1.0985865953261014,2C_SSP2 / small
99,GSupply,2C_SSP2,small,GPAFSRegressor,4,0.903710405019939,0.9061399683752653,2C_SSP2 / small
100,GSupply,2C_SSP2,all,ElasticNet,0,0.7685607717750262,0.7850598299379525,2C_SSP2 / all
101,GSupply,2C_SSP2,all,ElasticNet,1,0.7759612159600567,0.7353865109998468,2C_SSP2 / all
102,GSupply,2C_SSP2,all,ElasticNet,2,0.7793039150539662,0.7727261563110887,2C_SSP2 / all
103,GSupply,2C_SSP2,all,ElasticNet,3,0.7711002917946015,0.8001900070396026,2C_SSP2 / all
104,GSupply,2C_SSP2,all,ElasticNet,4,0.7706332557861059,0.7736277957779123,2C_SSP2 / all
105,GSupply,2C_SSP2,all,RandomForestRegressor,0,0.9953804286236849,0.9431025724239779,2C_SSP2 / all
106,GSupply,2C_SSP2,all,RandomForestRegressor,1,0.993490452483881,0.9573643394488814,2C_SSP2 / all
