,Target,Scenario,xvar_subset_code,Regression Model,Fold,Train Score,Test Score,Scenario / Variables
91,GSupply,2C_SSP2_DA30,small,ElasticNet,1,0.5967846129210863,0.5727531577958078,2C_SSP2_DA30 / small
92,GSupply,2C_SSP2_DA30,small,ElasticNet,2,0.5912848393667505,0.5992980984135645,2C_SSP2_DA30 / small
93,GSupply,2C_SSP2_DA30,small,ElasticNet,3,0.5667901161074226,0.6084471710161494,2C_SSP2_DA30 / small
94,GSupply,2C_SSP2_DA30,small,ElasticNet,4,0.5717086398607698,0.559858846511855,2C_SSP2_DA30 / small
95,GSupply,2C_SSP2_DA30,small,RandomForestRegressor,0,0.9804920182053818,0.8859360048893411,2C_SSP2_DA30 / small
96,GSupply,2C_SSP2_DA30,small,RandomForestRegressor,1,0.9823608063479876,0.8442274895810213,2C_SSP2_DA30 / small
97,GSupply,2C_SSP2_DA30,small,RandomForestRegressor,2,0.982241580137373,0.8587223068299928,2C_SSP2_DA30 / small
98,GSupply,2C_SSP2_DA30,small,RandomForestRegressor,3,0.9823523030375193,0.8679526312875163,2C_SSP2_DA30 / small
99,GSupply,2C_SSP2_DA30,small,RandomForestRegressor,4,0.9800286745711241,0.8899608102331171,2C_SSP2_DA30 / small
100,GSupply,2C_SSP2_DA30,small,PySRRegressor,0,0.8121589686129086,0.8047365793819587,2C_SSP2_DA30 / small
101,GSupply,2C_SSP2_DA30,small,PySRRegressor,1,0.8163109504026982,0.7847115776843503,2C_SSP2_DA30 / small
102,GSupply,2C_SSP2_DA30,small,PySRRegressor,2,0.8135261472023492,0.7960097410336122,2C_SSP2_DA30 / small
103,GSupply,2C_SSP2_DA30,small,PySRRegressor,3,0.8049615191747158,0.8313817363122064,2C_SSP2_DA30 / small
104,GSupply,2C_SSP2_DA30,small,PySRRegressor,4,0.8070980550808062,0.8209309641896128,2C_SSP2_DA30 / small
105,GSupply,2C_SSP2_DA30,all,ElasticNet,0,0.5906265526606834,0.5658541411288702,2C_SSP2_DA30 / all
106,GSupply,2C_SSP2_DA30,all,ElasticNet,1,0.5967846129210863,0.5727531577958078,2C_SSP2_DA30 / all
107,GSupply,2C_SSP2_DA30,all,ElasticNet,2,0.5912848393667505,0.5992980984135645,2C_SSP2_DA30 / all
108,GSupply,2C_SSP2_DA30,all,ElasticNet,3,0.5667901161074226,0.6084471710161494,2C_SSP2_DA30 / all
109,GSupply,2C_SSP2_DA30,all,ElasticNet,4,0.5717086398607698,0.5598588465118549,2C_SSP2_DA30 / all
