,Scenario,SOW,Temp_Limit,Delay,GDP,Pop,Other_ESD_Drivers,SDR,Elast_ESD_Driver,Elast_ESD_Price,CO2_Storage_Poten,Wind_Poten,Solar_Poten,Biomass_Poten,Oil_Gas_Poten,Solar_PV_Inv_Cost,Wind_Inv_Cost,Bioenergy_CCS_Inv_Cost,Other_Tech_Cost,Forcing,Land_Sinks,Clim_Sens,Year,Temp_Change,Rad_Forcing,CO2_Conc,CH4_Conc,N20_Conc,Carbon,CO2eq,Marg_CO2_Cost,GSupply,GSupply_Bioenergy,GSupply_Fossil,GSupply_Geothermal,GSupply_Nuclear,GSupply_Solar,GSupply_Tidal_Waves,GSupply_Wind,GConsumption,GConsumption_Fossil,GConsumption_Nuclear,GConsumption_Renewable,GCost
1373,1p5c_OS_SSP2,382,1.5,15,1.14423,1.05349,1.0638,5.09823,0.928588,1.11017,0.937867,0.932986,1.23415,1.09127,1.09515,1.0617,1.15067,1.03959,1.16356,1.06644,1.06949,2.7,2050,1.56985916,2.43340936,397.1711177,1495.846336,354.8130492,-0.884468537,-3.243346125,210.6443679,40.74943098,,11.80368691,1.869052547,4.600692247,8.386248787,2.24009735,7.124919753,762.8488255,360.9773573,47.53492309,354.3365451,31.74386771
1374,1p5c_OS_SSP2,383,1.5,15,1.0737,1.00407,0.983054,3.76089,0.970361,1.23763,0.922631,1.03818,1.02632,1.12036,1.05656,1.01585,0.96615,1.19198,1.1261,0.851355,1.12069,2.6,2050,1.534697723,2.475871264,400.5493744,1503.78655,354.8129906,0.220368453,0.808091117,148.1528999,39.01135957,,9.572096572,1.878544779,4.531283061,8.608651761,1.933,7.55854307,748.8832616,361.3699695,46.8202861,340.693006,27.92959655
1375,1p5c_OS_SSP2,384,1.5,15,1.06981,1.0008,0.867245,3.60931,1.01983,1.20955,1.2197,0.986999,1.07571,1.00911,1.06999,0.96539,1.05064,1.12475,1.19155,0.876036,1.0529,2.0,2050,1.460287063,3.163498208,456.9166154,1562.570441,355.2278212,4.407963792,16.16400323,79.47505099,34.67339075,,1.856546396,1.965087959,4.47004262,10.27853802,2.619641009,8.074015782,749.6943536,430.6547365,46.18975453,272.8498626,25.10560312
1376,1p5c_OS_SSP2,385,1.5,15,1.05947,1.02621,0.986891,3.96652,0.980709,1.09401,0.984994,0.875748,1.24344,1.00343,1.13194,1.04618,1.05192,1.04885,1.0412,1.03041,1.06439,3.8,2050,1.900408307,2.154144631,375.4465764,1431.044495,354.1191242,-3.711977491,-13.61182146,657.0145002,66.33321364,,11.65750213,2.857834895,4.884391783,28.25646913,2.530361719,10.57053363,777.4737315,278.3728082,50.45589351,448.6450297,47.65491017
1377,1p5c_OS_SSP2,386,1.5,15,1.09636,1.01665,1.12791,4.12077,1.03662,0.850233,1.02547,1.05281,1.16155,1.0343,1.05981,1.13517,1.06068,1.12234,1.20649,1.18661,1.11881,2.5,2050,1.519436889,2.571762819,408.1075231,1523.193133,354.9459415,1.10411776,4.048799826,154.1746,42.78355755,,9.182478029,1.932884989,4.658027258,11.13917882,2.011100544,8.588284672,815.505977,423.1870472,48.12524436,344.1936854,30.08165784
1378,1p5c_OS_SSP2,387,1.5,15,1.1242,1.01529,1.04667,3.38774,1.00973,1.12658,1.27071,0.87047,1.0424,0.951427,1.01215,1.36529,1.0468,1.19032,1.04563,1.03317,1.02607,3.6,2050,1.835539904,2.173406637,376.8957699,1437.834689,354.1296419,-3.338976471,-12.24402672,685.239884,72.47096414,,10.99221435,3.330102448,4.937477778,33.53262447,2.593533405,10.75324939,813.1368,303.1503962,51.00246691,458.9839368,46.15424023
1379,1p5c_OS_SSP2,388,1.5,15,1.08921,0.987849,0.981423,4.1959,1.07968,0.998583,1.0896,0.987505,1.30258,0.905053,1.05725,1.18264,0.990822,1.16795,1.00178,0.997628,1.12435,3.8,2050,1.925469598,2.226252858,381.0013711,1450.693512,354.2227287,-2.875590638,-10.54479087,751.7735603,77.51379617,,10.23747014,2.972756657,5.04976345,38.64568179,2.63789491,11.69079572,855.7321267,333.9823994,52.1585602,469.591167,52.22126609
1380,1p5c_OS_SSP2,389,1.5,15,1.10078,1.05428,0.985186,5.20632,1.0823,1.02662,1.00859,0.911662,0.838865,0.987305,1.01197,1.03789,1.20349,1.01698,0.980148,1.01477,1.15404,2.6,2050,1.559379981,2.539657761,405.4068422,1523.219176,354.9220451,0.192144299,0.704593144,256.3836981,46.39673801,,10.77574826,1.93735116,4.747658745,12.18696657,2.420845918,8.926978541,857.3423898,451.9829833,49.04809015,356.3113164,34.66304002
1381,1p5c_OS_SSP2,390,1.5,15,1.20341,1.04139,0.986724,4.5531,0.96809,0.853952,1.01573,1.0971,1.14903,1.04177,1.05084,1.15741,1.0126,1.13886,1.10432,1.0319,1.02191,2.7,2050,1.574873074,2.455591983,398.7672682,1506.654514,354.8141364,-0.471744799,-1.729888178,239.7637591,44.49946608,,10.71980987,1.931811222,4.651397476,10.80795997,2.326363635,9.022347408,815.0733461,403.5552781,48.05698413,363.4610839,32.62640254
1382,1p5c_OS_SSP2,391,1.5,15,1.01825,1.01214,0.962844,4.57618,0.953319,1.07544,1.38422,0.985877,1.20403,1.11482,0.995391,1.10568,1.13498,1.00996,1.05905,0.978685,1.15414,3.4,2050,1.775526803,2.196964417,378.4158578,1453.960374,354.3581689,-3.347502859,-12.27529298,405.192032,53.53529288,,12.70161009,2.032039091,4.963121566,17.84692126,2.066050564,8.848685843,763.1367136,296.2880082,51.26649536,415.5822101,40.70027498
1385,1p5c_OS_SSP2,394,1.5,15,1.03645,1.05737,1.06448,3.81718,0.994286,1.09281,1.02992,1.06334,1.15774,1.02179,1.06262,0.989393,1.14291,0.945193,1.06111,0.930892,0.99629,2.4,2050,1.508254631,2.672894919,416.7619414,1518.118383,354.9384528,1.684993346,6.1788706,119.3306024,36.97336834,,6.725144512,1.947144612,4.545644551,9.417666228,1.933,7.170346807,743.6939522,388.6667738,46.96815201,308.0590264,26.75428367
1386,1p5c_OS_SSP2,395,1.5,15,1.16049,1.00893,0.874715,4.34144,1.05072,1.00341,1.07312,1.19011,1.27241,1.17639,1.03716,1.12057,1.05423,0.949703,1.16674,1.01536,1.15289,2.7,2050,1.565493024,2.423860692,395.9378951,1512.760002,354.815824,-0.898863965,-3.29613416,256.8865536,48.84157283,,12.38458501,1.997411359,4.808565419,13.47997071,2.28706915,8.632098002,874.691745,419.0382145,49.67518527,405.9783452,33.42298266
1387,1p5c_OS_SSP2,396,1.5,15,1.12773,1.03419,0.853438,5.59371,0.977316,0.974053,1.16975,0.967991,1.01358,0.97854,0.963744,0.89687,1.06625,0.975714,0.992026,0.899402,1.08285,2.8,2050,1.617820912,2.440306681,397.7644393,1495.692714,354.7811075,-0.993954638,-3.644831658,304.5181489,44.59613271,,10.96772446,1.90981908,4.790132883,10.57985669,2.291788666,9.246358557,775.0921562,378.7908484,49.48540387,346.815904,34.96701162
1388,1p5c_OS_SSP2,397,1.5,15,1.05476,1.02406,1.02785,3.69125,1.11811,1.12881,1.01383,1.05541,1.02824,1.33061,1.01501,1.06318,1.05945,0.999911,1.15978,1.06799,1.03006,3.3,2050,1.718591367,2.142866136,373.5150792,1467.582128,354.3443621,-3.951071897,-14.48858065,457.8566014,70.05828363,,15.32008072,2.252002966,4.904213348,29.14566506,2.384063498,10.40011531,938.6450719,359.5009348,50.65997634,528.4841608,43.08453547
1389,1p5c_OS_SSP2,398,1.5,15,1.18939,1.04567,0.963567,4.05129,0.951455,1.19543,1.0516,0.98435,1.2795,1.01443,1.08955,0.882229,1.06677,1.13588,1.03126,0.927221,0.990853,4.0,2050,1.965308166,2.152230237,375.2624108,1431.719714,354.1417913,-3.765473436,-13.80799109,702.7702333,67.98774307,,11.78159136,2.917357952,4.962570466,29.32157551,2.555372275,10.78397271,793.9200206,286.1959055,51.26082123,456.4632938,50.98783134
1390,1p5c_OS_SSP2,399,1.5,15,1.11392,1.00933,0.968363,3.03198,0.977917,1.06989,1.21189,1.04165,1.21664,1.16421,1.00245,1.00676,1.08576,1.03064,1.10934,0.897386,1.07429,3.8,2050,1.871860252,2.080297222,369.3061837,1428.123364,354.0788706,-4.472280537,-16.39985273,686.2490986,71.22735172,,13.95333596,3.145446621,4.8981307,30.22921445,2.431734787,10.4401749,826.0475301,279.1931053,50.5973494,496.2570754,46.02590977
1391,1p5c_OS_SSP2,400,1.5,15,1.10409,1.03712,0.99814,4.19938,1.00583,1.07338,1.01622,1.06734,1.2802,1.00853,0.994584,1.01487,1.11045,1.22999,0.9883,0.993288,0.987618,3.2,2050,1.71509537,2.244502541,382.2306919,1461.575807,354.3561264,-2.774384503,-10.17366797,416.8862362,58.23182919,,11.18719408,2.109605849,5.113287494,22.16879421,2.552052586,9.676707516,813.008713,341.2747943,52.81260375,418.9213149,40.32522604
1392,1p5c_OS_SSP2,401,1.5,15,1.06834,0.96978,1.15071,3.59394,1.03647,1.39306,0.96034,1.01893,1.1709,1.12701,1.04155,1.03539,1.07681,1.1995,1.12557,0.92126,1.11572,3.2,2050,1.697527967,2.194710867,378.1080776,1458.829397,354.3372627,-3.304056745,-12.11597608,415.0566613,61.08687339,,12.71321504,2.080763195,4.989613376,23.62616869,2.454865475,9.847089111,840.1538445,336.6641473,51.53925504,451.9504421,39.80195741
1393,1p5c_OS_SSP2,402,1.5,15,1.10206,1.04402,1.11028,4.11326,1.08629,0.872581,1.02983,1.03763,1.18976,1.12373,1.06892,0.949752,0.976181,0.979444,1.12045,1.0056,1.14582,3.9,2050,1.934355111,2.157350977,375.1481242,1452.382214,354.2344241,-3.732375253,-13.68662005,742.9802535,81.94737359,,13.01520494,2.98572332,4.937477778,40.85798965,2.567427601,11.42720972,914.4313004,332.644953,51.00246691,530.7838804,53.85242979
1394,1p5c_OS_SSP2,403,1.5,15,1.01447,1.03649,1.10893,3.61297,0.993021,1.13596,1.25144,1.04644,1.14656,1.14161,0.96482,0.898753,0.997306,1.06531,1.05142,0.835288,1.01664,3.8,2050,1.879257984,2.0971883,370.6768776,1430.061469,354.0947305,-4.355369289,-15.97113918,615.14602,67.09748284,,13.73874915,2.809580294,4.935619684,26.62267499,2.432492354,10.7882513,798.9981961,270.1290577,50.98333598,477.8858024,46.66571398
